namaresto,cuisines,namatype,ratescore,ratetext,cost,lokasi
 Animo Bread Culture, Cafe, Bakery,45, Excellent,120000,Jakarta Selatan
 Pandor, Bakery, Bakery,43, Very Good,300000,Jakarta Selatan
 Eric Kayser Artisan Boulanger, French, Bakery,43, Very Good,400000,Jakarta Selatan
 Bakerzin, Western, Bakery,43, Very Good,250000,Jakarta Selatan
 Châteraisé, Bakery, Bakery,47, Excellent,60000,Jakarta Selatan
 Imperial Tables, Italian, Bakery,40, Very Good,240000,Jakarta Selatan
 Baconerie, Cafe, Bakery,42, Very Good,200000,Jakarta Selatan
 Tous Les Jours, Bakery, Bakery,41, Very Good,135000,Jakarta Selatan
 The Harvest, Desserts, Bakery,41, Very Good,100000,Jakarta Selatan
 Bakerzin, Western, Bakery,38, Good,250000,Jakarta Selatan
 Sophie Authentique, Cafe, Bakery,42, Very Good,170000,Jakarta Selatan
 Sophie Authentique, Coffee, Bakery,38, Good,200000,Jakarta Selatan
 Tous Les Jours, Bakery, Bakery,41, Very Good,135000,Jakarta Selatan
 Almondtree by The Harvest, Bakery, Bakery,41, Very Good,200000,Jakarta Selatan
 Paul, Cafe, Bakery,42, Very Good,450000,Jakarta Selatan
 Paul, Western, Bakery,42, Very Good,450000,Jakarta Selatan
 Tous Les Jours, Bakery, Bakery,38, Good,135000,Jakarta Selatan
 The Harvest Deli, Desserts, Bakery,41, Very Good,350000,Jakarta Selatan
 Tous Les Jours, Bakery, Bakery,40, Very Good,135000,Jakarta Selatan
 Daily Treats at Lobby Lounge  The Westin Jakarta, Bakery, Bakery,43, Very Good,200000,Jakarta Selatan
 Clairmont, Bakery, Bakery,39, Good,100000,Jakarta Selatan
 Seven Grain, Bakery, Bakery,41, Very Good,150000,Jakarta Selatan
 Dapur Cokelat, Bakery, Bakery,38, Good,120000,Jakarta Selatan
 Auntie Annes, Bakery, Bakery,42, Very Good,80000,Jakarta Selatan
 Delicio, Cafe, Bakery,33, Average,130000,Jakarta Selatan
 Auntie Annes, Bakery, Bakery,41, Very Good,80000,Jakarta Selatan
 Tous Les Jours, Bakery, Bakery,41, Very Good,135000,Jakarta Selatan
 Momoiro, Bakery, Bakery,39, Good,80000,Jakarta Selatan
 Clairmont, Bakery, Bakery,38, Good,100000,Jakarta Selatan
 Eaton, Chinese, Bakery,35, Good,150000,Jakarta Selatan
 Cake A Boo, Desserts, Bakery,38, Good,80000,Jakarta Selatan
 Paul, Cafe, Bakery,36, Good,450000,Jakarta Selatan
 Auntie Annes, Bakery, Bakery,40, Very Good,80000,Jakarta Selatan
 The Harvest, Desserts, Bakery,40, Very Good,100000,Jakarta Selatan
 Santa 88 Cake, Bakery, Bakery,38, Good,60000,Jakarta Selatan
 Ezo Cheesecakes  Bakery, Bakery, Bakery,44, Very Good,100000,Jakarta Barat
 Eric Kayser Artisan Boulanger, French, Bakery,42, Very Good,400000,Jakarta Barat
 ChÃteraisÃ, Bakery, Bakery,43, Very Good,60000,Jakarta Barat
 Almondtree by The Harvest, Bakery, Bakery,40, Very Good,200000,Jakarta Barat
 Tous Les Jours, Bakery, Bakery,40, Sangat Baik,135000,Jakarta Barat
 Francis Artisan Bakery, Bakery, Bakery,44, Very Good,70000,Jakarta Barat
 The Harvest, Desserts, Bakery,39, Good,100000,Jakarta Barat
 Fuwa Fuwa, Bakery, Bakery,39, Good,100000,Jakarta Barat
 Eaton, Chinese, Bakery,39, Good,150000,Jakarta Barat
 Francis Artisan Bakery, Bakery, Bakery,42, Very Good,70000,Jakarta Barat
 The Harvest, Desserts, Bakery,37, Good,100000,Jakarta Barat
 Auntie Annes, Bakery, Bakery,40, Very Good,80000,Jakarta Barat
 Saint Cinnamon  Coffee, Bakery, Bakery,40, Very Good,100000,Jakarta Barat
 Provence, Bakery, Bakery,40, Very Good,60000,Jakarta Barat
 Dapur Cokelat, Bakery, Bakery,40, Very Good,120000,Jakarta Barat
 Rumah Juliet, Cafe, Bakery,41, Very Good,120000,Jakarta Barat
 Auntie Annes, Bakery, Bakery,38, Good,80000,Jakarta Barat
 Auntie Annes, Bakery, Bakery,39, Good,80000,Jakarta Barat
 Dobudon, Bakery, Bakery,34, Average,80000,Jakarta Barat
 Ezo Cheesecakes  Bakery, Bakery, Bakery,39, Good,100000,Jakarta Barat
 Strawberry Pastel Ufo, Bakery, Bakery,41, Very Good,20000,Jakarta Barat
 Hoshi, Bakery, Bakery,37, Good,60000,Jakarta Barat
 Eaton, Chinese, Bakery,35, Good,150000,Jakarta Barat
 Ezo Cheesecakes  Bakery, Bakery, Bakery,40, Very Good,100000,Jakarta Barat
 Dapur Cokelat, Bakery, Bakery,37, Good,120000,Jakarta Barat
 Beard Papas, Bakery, Bakery,39, Good,50000,Jakarta Barat
 Tous Les Jours, Bakery, Bakery,40, Very Good,135000,Jakarta Barat
 Capital, Bakery, Bakery,39, Good,60000,Jakarta Barat
 Clairmont, Bakery, Bakery,37, Good,100000,Jakarta Barat
 Tous Les Jours, Bakery, Bakery,38, Good,135000,Jakarta Barat
 Provence, Bakery, Bakery,39, Good,60000,Jakarta Barat
 Almondtree by The Harvest, Bakery, Bakery,35, Good,200000,Jakarta Barat
 Cafe Bon Francais, Asian, Bakery,37, Good,120000,Jakarta Barat
 BreadTalk, Bakery, Bakery,36, Good,70000,Jakarta Barat
 Chefs Bakery and Cafe, Italian, Bakery,36, Baik,200000,Jakarta Barat
 BreadTalk, Bakery, Bakery,36, Good,70000,Jakarta Barat
 BreadLife, Bakery, Bakery,36, Good,50000,Jakarta Barat
 Almondtree by The Harvest, Bakery, Bakery,37, Good,200000,Jakarta Barat
 Koko Bogana, Jawa, Bakery,39, Good,100000,Jakarta Selatan
 Eaton, Chinese, Bakery,33, Average,150000,Jakarta Barat
 Eric Kayser Artisan Boulanger, Bakery, Bakery,43, Very Good,400000,Jakarta Selatan
 The Harvest, Desserts, Bakery,34, Average,100000,Jakarta Barat
 OKU  Hotel Indonesia Kempinski, Japanese, Bar,49, Terbaik,900000,Jakarta Pusat
 Mellys Garden, Jawa, Bar,40, Very Good,150000,Jakarta Pusat
 JimBARan Lounge  AYANA Midplaza JAKARTA, Asian, Bar,40, Very Good,450000,Jakarta Pusat
 CAMDEN BAR, Italian, Bar,40, Very Good,250000,Jakarta Pusat
 The Immigrant Dining Room, Italian, Bar,41, Very Good,475000,Jakarta Pusat
 Ganesha Ek Sanskriti, North Indian, Bar,42, Very Good,250000,Jakarta Pusat
 IINDIGO Lounge  DoubleTree by Hilton Jakarta Diponegoro, Finger Food, Bar,39, Good,600000,Jakarta Pusat
 Face Bar  Face Jakarta, Thai, Bar,39, Good,550000,Jakarta Pusat
 MELT Jakarta, Western, Bar,37, Good,350000,Jakarta Pusat
 Penny Lane, Finger Food, Bar,36, Good,200000,Jakarta Pusat
 BATS  ShangriLa Hotel, Pizza, Bar,36, Good,500000,Jakarta Pusat
 Tavern  Aryaduta Jakarta, Steak, Bar,38, Good,750000,Jakarta Pusat
 Bloeming, Indonesian, Bar,36, Good,450000,Jakarta Pusat
 Apero, Italian, Bar,36, Good,220000,Jakarta Pusat
 Afterhour, Grill, Bar,36, Good,400000,Jakarta Pusat
 DeLangit Rooftop Bar  Mercure Jakarta Cikini, Finger Food, Bar,35, Good,500000,Jakarta Pusat
 Penny Lane Beer House, Beverages, Bar,37, Good,300000,Jakarta Pusat
 Q Billiard, Finger Food, Bar,28, Average,300000,Jakarta Pusat
 Beer Market, Western, Bar,33, Average,80000,Jakarta Pusat
 The Back Room  Pullman Jakarta Indonesia, Western, Bar,37, Baik,500000,Jakarta Pusat
 Sukhothai Authentic Thailand Restaurant  The Media Hotel  Towers, Thai, Bar,35, Good,420000,Jakarta Pusat
 Conrad Rooftop Garden Bar, Indonesian, Bar,34, Average,200000,Jakarta Pusat
 Media Lounge  The Media Hotel  Towers, Indonesian, Bar,31, Average,400000,Jakarta Pusat
 Autopia Lounge  Bar  The Akmani Hotel, Indonesian, Bar,31, Average,300000,Jakarta Pusat
 Tiga Kuda  Hotel Menteng II, Indonesian, Bar,31, Average,300000,Jakarta Pusat
 Huge Musro Club, Drinks Only, Bar,31, Average,200000,Jakarta Pusat
 The Lobby Lounge  Aryaduta Jakarta, Western, Bar,0, Not rated,300000,Jakarta Pusat
 Blue Bar  Lumire Hotel, Drinks Only, Bar,0, Not rated,300000,Jakarta Pusat
 Arrow Rooftop  Sagitarius Hotel, Western, Bar,31, Average,250000,Jakarta Pusat
 Flirt Bar  Lounge  Fashion Hotel, Beverages, Bar,0, Not rated,400000,Jakarta Pusat
 Lounge Bar  All Seasons Hotel, Drinks Only, Bar,30, Biasa,200000,Jakarta Pusat
 Iguana  Hotel Menteng I, Indonesian, Bar,32, Average,150000,Jakarta Pusat
 Best Brew  Four Points by Sheraton, Drinks Only, Bar,0, Not rated,200000,Jakarta Pusat
 Fountain Bar  The Acacia Hotel, Indonesian, Bar,0, Not rated,300000,Jakarta Pusat
 Scenic Bar  Lounge 180, Western, Bar,0, Not rated,500000,Jakarta Pusat
 W XYZ Bar  Aloft Jakarta, Finger Food, Bar,0, Not rated,400000,Jakarta Pusat
 Time Square Bar  Merlynn Park Hotel, Drinks Only, Bar,0, Not rated,400000,Jakarta Pusat
 i Darts Hiro, Finger Food, Bar,35, Good,200000,Jakarta Timur
 Matra 21  Hotel Grand Menteng, Drinks Only, Bar,0, Not rated,100000,Jakarta Timur
 Hugo Soju Bar  Eatery, Western, Bar,43, Very Good,250000,Jakarta Utara
 Holywings, Asian, Bar,40, Very Good,250000,Jakarta Utara
 Holywings, Asian, Bar,40, Very Good,200000,Jakarta Utara
 33 Degrees Rooftop Lounge  Bar  Aston Marina Mediterania, Western, Bar,40, Very Good,350000,Jakarta Utara
 Pvblic Bistro  Bar, Asian, Bar,41, Very Good,300000,Jakarta Utara
 Chilis Grill and Bar, Western, Bar,41, Very Good,500000,Jakarta Utara
 Mixology Soju Bar  Brasserie, Western, Bar,42, Very Good,250000,Jakarta Utara
 Portable  Whiz Prime Hotel, Western, Bar,39, Good,300000,Jakarta Utara
 Minus Two Restaurant  Bar, Western, Bar,40, Very Good,525000,Jakarta Utara
 Anterograde Kitchen  Bar, Western, Bar,37, Good,200000,Jakarta Utara
 Oppa House of Soju, Korean, Bar,39, Good,350000,Jakarta Utara
 District Bar  Resto, Pizza, Bar,38, Good,290000,Jakarta Utara
 Moray Kitchen  Soju Bar, Western, Bar,39, Good,250000,Jakarta Utara
 Bastardo Ristorante, Italian, Bar,35, Good,300000,Jakarta Utara
 Rock  Goal, Western, Bar,36, Good,200000,Jakarta Utara
 Bier  Flugel, Western, Bar,37, Baik,200000,Jakarta Utara
 Warung BOS, Indonesian, Bar,30, Average,100000,Jakarta Utara
 Chamber of Liquor, Finger Food, Bar,39, Baik,200000,Jakarta Utara
 Eleven Twelve, Asian, Bar,40, Very Good,200000,Jakarta Utara
 BEER BOX, Drinks Only, Bar,38, Good,150000,Jakarta Utara
 The Replay, Western, Bar,36, Good,150000,Jakarta Utara
 Vote Bar  Resto, Western, Bar,37, Good,280000,Jakarta Utara
 Porter Bar, Indonesian, Bar,39, Good,120000,Jakarta Utara
 MYSTIQUE Pool Lounge Dine, Western, Bar,35, Good,250000,Jakarta Utara
 Afterhour, Grill, Bar,37, Good,400000,Jakarta Utara
 Afterhour, Grill, Bar,35, Good,400000,Jakarta Utara
 Ibzas Bar and Lounge, Beverages, Bar,34, Average,300000,Jakarta Utara
 Beertender, Western, Bar,35, Good,300000,Jakarta Utara
 MVP Sports Bar  Grill  Tematik Hotel, Western, Bar,32, Average,330000,Jakarta Utara
 ELIXIR Bar  Lounge, Finger Food, Bar,34, Average,200000,Jakarta Utara
 Europe Sport BarCafe, Western, Bar,31, Average,180000,Jakarta Utara
 333 Lounge  Bar, Drinks Only, Bar,0, Not rated,150000,Jakarta Utara
 JUBELOF, Drinks Only, Bar,0, Not rated,100000,Jakarta Utara
 Geinshou, Western, Bar,0, Not rated,250000,Jakarta Utara
 Cium  Cium Lounge  Bar  Aston Marina Hotel, Asian, Bar,0, Not rated,250000,Jakarta Utara
 Komik Resto, Indonesian, Bar,0, Not rated,150000,Jakarta Utara
 Bottega Ristorante, Italian, Bar,43, Sangat Baik,450000,Jakarta Selatan
 Henshin  The Westin Jakarta, Asian, Bar,47, Excellent,1400000,Jakarta Selatan
 Loewy, Western, Bar,43, Very Good,350000,Jakarta Selatan
 Kashiwa, Japanese, Bar,44, Very Good,250000,Jakarta Selatan
 Bluegrass, Grill, Bar,44, Very Good,450000,Jakarta Selatan
 BASQUE Bar de Tapas, Spanish, Bar,44, Very Good,750000,Jakarta Selatan
 Fujin Japanese Teppanyaki  Sake, Japanese, Bar,47, Excellent,400000,Jakarta Selatan
 Beer Garden, Italian, Bar,40, Very Good,300000,Jakarta Selatan
 Hard Rock Cafe, American, Bar,42, Very Good,400000,Jakarta Selatan
 Potato Head Jakarta, French, Bar,41, Very Good,600000,Jakarta Selatan
 J Sparrows, Italian, Bar,42, Very Good,480000,Jakarta Selatan
 Amigos Bar  Cantina, Mexican, Bar,43, Very Good,300000,Jakarta Selatan
 TGI Fridays, Burger, Bar,43, Very Good,400000,Jakarta Selatan
 Pao Pao Liquor Bar  Dimsum Parlour, Chinese, Bar,41, Sangat Baik,300000,Jakarta Selatan
 Harlow, Asian, Bar,41, Sangat Baik,350000,Jakarta Selatan
 TGI Fridays, Burger, Bar,41, Sangat Baik,400000,Jakarta Selatan
 FEZ Kinara Dining  Lounge, North Indian, Bar,43, Sangat Baik,250000,Jakarta Selatan
 The SAFEHOUSE, Burger, Bar,41, Very Good,400000,Jakarta Selatan
 Yesterday Backyard, Italian, Bar,39, Baik,250000,Jakarta Selatan
 De Hooi, Indonesian, Bar,41, Very Good,350000,Jakarta Selatan
 The Dutch, European, Bar,42, Sangat Baik,600000,Jakarta Selatan
 Die Stube Germany Resto  Bar, German, Bar,45, Excellent,420000,Jakarta Selatan
 BEER HALL, Western, Bar,44, Very Good,250000,Jakarta Selatan
 CAMDEN BAR, Italian, Bar,39, Good,450000,Jakarta Selatan
 Up In Smoke, American, Bar,42, Very Good,350000,Jakarta Selatan
 TGI Fridays, Burger, Bar,43, Very Good,400000,Jakarta Selatan
 QUEENS HEAD, British, Bar,40, Very Good,500000,Jakarta Selatan
 LOLA, Mexican, Bar,43, Very Good,500000,Jakarta Selatan
 The Pallas, Western, Bar,43, Very Good,550000,Jakarta Selatan
 Amigos Bar  Cantina, Mexican, Bar,41, Sangat Baik,300000,Jakarta Selatan
 Karumba Rooftop   Mercure Jakarta Simatupang, Italian, Bar,40, Very Good,500000,Jakarta Selatan
 D Bollywood, Indian, Bar,49, Terbaik,350000,Jakarta Selatan
 The DEN of Kalaha, Italian, Bar,39, Good,350000,Jakarta Selatan
 Flow, Western, Bar,42, Very Good,500000,Jakarta Selatan
 Koi Mahakam, European, Bar,41, Very Good,300000,Jakarta Selatan
 CHAMBER, American, Bar,41, Sangat Baik,350000,Jakarta Selatan
 Beer Brother, Western, Bar,40, Very Good,300000,Jakarta Selatan
 Beer Garden, Italian, Bar,42, Very Good,300000,Jakarta Selatan
 TGI Fridays, Burger, Bar,42, Very Good,400000,Jakarta Barat
 Open Door, Asian, Bar,37, Good,200000,Jakarta Barat
 Double Doors, American, Bar,37, Good,300000,Jakarta Barat
 Beer Castle, European, Bar,36, Good,300000,Jakarta Barat
 HALFWAY, Finger Food, Bar,34, Average,250000,Jakarta Barat
 Ramblers Bar and Cafe Lokasari, Western, Bar,30, Average,250000,Jakarta Barat
 Bistecca, Steak, Bar,43, Very Good,850000,Jakarta Selatan
 Eastern Promise, North Indian, Bar,39, Good,300000,Jakarta Selatan
 Chillers Cafe  Bar, Drinks Only, Bar,0, Not rated,200000,Jakarta Barat
 KOI Cafe, Bubble Tea, Beverage Shop,45, Excellent,60000,Jakarta Pusat
 Gulu Gulu, Beverages, Beverage Shop,42, Very Good,60000,Jakarta Pusat
 Chatime, Bubble Tea, Beverage Shop,39, Good,60000,Jakarta Pusat
 Coco, Bubble Tea, Beverage Shop,40, Very Good,50000,Jakarta Pusat
 Kopi Kenangan, Coffee, Beverage Shop,41, Very Good,33000,Jakarta Pusat
 Kedai Kopi Kulo, Beverages, Beverage Shop,40, Very Good,70000,Jakarta Pusat
 Sharetea, Bubble Tea, Beverage Shop,39, Good,60000,Jakarta Pusat
 Bear  Co, Beverages, Beverage Shop,37, Good,60000,Jakarta Pusat
 Rejuve, Beverages, Beverage Shop,39, Good,100000,Jakarta Pusat
 Harmoni Tea, Tea, Beverage Shop,38, Good,110000,Jakarta Pusat
 Di Bawah Tangga, Coffee, Beverage Shop,37, Good,60000,Jakarta Pusat
 Kamu Tea Cafe, Beverages, Beverage Shop,39, Good,60000,Jakarta Pusat
 Kopi Coga, Cafe, Beverage Shop,34, Average,50000,Jakarta Pusat
 Chatime, Bubble Tea, Beverage Shop,38, Good,60000,Jakarta Pusat
 King Mango Thai, Beverages, Beverage Shop,39, Good,70000,Jakarta Pusat
 Kopi Wahid, Coffee, Beverage Shop,38, Good,60000,Jakarta Pusat
 Dum Dum Thai Drinks, Beverages, Beverage Shop,38, Good,50000,Jakarta Pusat
 Origins Authentic, Beverages, Beverage Shop,35, Good,50000,Jakarta Pusat
 Chatime, Bubble Tea, Beverage Shop,37, Good,60000,Jakarta Pusat
 Dum Dum Thai Drinks, Beverages, Beverage Shop,36, Good,50000,Jakarta Pusat
 Dum Dum Thai Drinks, Beverages, Beverage Shop,35, Good,50000,Jakarta Pusat
 MM Juice, Juices, Beverage Shop,35, Good,150000,Jakarta Pusat
 Jamu Bukti Mentjos, Beverages, Beverage Shop,38, Good,40000,Jakarta Pusat
 Rejuve, Beverages, Beverage Shop,36, Good,100000,Jakarta Pusat
 DOJ Juice Bar, Juices, Beverage Shop,36, Good,80000,Jakarta Pusat
 Kopi Kenangan, Coffee, Beverage Shop,36, Good,33000,Jakarta Pusat
 Chatime, Bubble Tea, Beverage Shop,36, Good,60000,Jakarta Pusat
 Waroeng Teh Kotjok, Beverages, Beverage Shop,35, Good,30000,Jakarta Pusat
 Sharetea, Bubble Tea, Beverage Shop,36, Good,60000,Jakarta Pusat
 Lulla Thai, Beverages, Beverage Shop,34, Average,40000,Jakarta Pusat
 Chatime, Bubble Tea, Beverage Shop,36, Good,60000,Jakarta Pusat
 Chapayom, Beverages, Beverage Shop,36, Good,120000,Jakarta Pusat
